Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
123ms   |45ms                |108ms        |108ms      

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
3          |0            |0           |0         
5          |0            |0           |0         
6          |0            |0           |0         
6          |1            |0           |0         
7          |1            |0           |1         
7          |0            |0           |1         
8          |1            |1           |2         
10         |0            |1           |3         
11         |1            |1           |3         
11         |1            |1           |3         
13         |0            |1           |4         
14         |0            |1           |5         
14         |2            |1           |5         
15         |1            |1           |6         
17         |0            |1           |7         
18         |1            |1           |7         
19         |0            |1           |8         
20         |1            |1           |8         
21         |0            |1           |9         
22         |0            |1           |9         
22         |1            |1           |10        
24         |0            |1           |11        
25         |0            |2           |11        
25         |0            |3           |11        
27         |0            |3           |11        
27         |1            |3           |11        
28         |1            |3           |12        
28         |0            |3           |13        
29         |1            |4           |13        
30         |1            |4           |14        
30         |1            |4           |14        
30         |2            |4           |16        
30         |1            |4           |17        
32         |0            |4           |19        
33         |0            |4           |19        
33         |2            |4           |19        
34         |0            |4           |21        
36         |0            |4           |21        
37         |1            |4           |21        
38         |0            |4           |22        
40         |0            |4           |22        
40         |1            |4           |22        
41         |1            |4           |23        
42         |1            |4           |24        
43         |0            |4           |25        
44         |0            |4           |25        
45         |0            |4           |26        
46         |0            |4           |26        
46         |1            |4           |27        
48         |0            |4           |28        
48         |0            |5           |28        
49         |1            |5           |28        
51         |0            |5           |29        
51         |1            |5           |29        
52         |1            |5           |30        
53         |0            |5           |31        
54         |1            |5           |31        
55         |1            |5           |32        
56         |0            |5           |33        
57         |1            |5           |33        
57         |1            |5           |34        
57         |2            |5           |35        
55         |2            |5           |36        
56         |2            |6           |37        
56         |2            |7           |38        
57         |0            |7           |40        
59         |0            |7           |41        
59         |2            |7           |41        
60         |0            |7           |42        
61         |1            |7           |43        
61         |1            |8           |43        
63         |0            |8           |44        
64         |0            |8           |44        
64         |1            |8           |44        
66         |0            |8           |46        
67         |0            |8           |46        
67         |2            |8           |46        
68         |0            |8           |48        
70         |0            |8           |48        
70         |1            |8           |48        
71         |1            |8           |49        
72         |1            |8           |50        
73         |0            |8           |51        
74         |1            |8           |51        
74         |1            |8           |52        
76         |0            |8           |53        
76         |0            |9           |53        
77         |1            |9           |53        
79         |0            |9           |54        
79         |1            |9           |54        
80         |1            |9           |55        
81         |0            |9           |56        
82         |0            |9           |56        
83         |1            |10          |56        
84         |0            |10          |56        
85         |1            |10          |57        
86         |0            |10          |58        
87         |0            |10          |58        
88         |0            |10          |59        
86         |2            |11          |59        
88         |2            |11          |60        
88         |1            |11          |61        
89         |1            |11          |63        
90         |0            |11          |64        
91         |0            |12          |64        
91         |1            |12          |64        
90         |2            |13          |64        
92         |1            |13          |66        
92         |0            |13          |66        
91         |1            |14          |67        
91         |1            |14          |67        
91         |1            |14          |67        
91         |1            |14          |67        
91         |1            |15          |68        
92         |0            |15          |69        
91         |1            |15          |69        
90         |4            |15          |69        
92         |2            |15          |71        
93         |0            |15          |73        
91         |3            |15          |73        
92         |2            |15          |74        
90         |3            |15          |75        
87         |5            |17          |76        
84         |7            |18          |77        
81         |8            |18          |78        
79         |8            |19          |79        
77         |8            |19          |81        
75         |9            |19          |82        
72         |9            |19          |83        
71         |10           |19          |85        
68         |12           |20          |86        
64         |12           |22          |87        
62         |13           |22          |88        
59         |14           |23          |88        
56         |15           |24          |90        
52         |17           |25          |91        
48         |19           |25          |91        
47         |20           |25          |93        
43         |22           |25          |93        
40         |24           |26          |95        
38         |23           |26          |96        
36         |23           |28          |98        
33         |23           |29          |99        
31         |23           |30          |101       
28         |22           |31          |102       
26         |24           |31          |104       
23         |24           |31          |105       
21         |26           |31          |107       
20         |24           |32          |107       
19         |25           |32          |109       
15         |27           |33          |110       
13         |27           |33          |112       
11         |28           |33          |113       
9          |28           |33          |115       
7          |29           |33          |116       
5          |29           |33          |118       
1          |31           |33          |118       
0          |32           |33          |120       
0          |31           |33          |121       
0          |31           |33          |122       
0          |31           |33          |122       
0          |29           |33          |123       
0          |28           |33          |124       
0          |27           |33          |126       
0          |26           |33          |126       
0          |25           |33          |127       
0          |25           |33          |128       
0          |24           |33          |128       
0          |23           |33          |130       
0          |21           |33          |131       
0          |21           |33          |132       
0          |20           |33          |133       
0          |19           |33          |133       
0          |18           |33          |135       
0          |17           |33          |135       
0          |15           |33          |137       
0          |15           |33          |138       
0          |13           |33          |140       
0          |12           |33          |141       
0          |10           |33          |142       
0          |9            |33          |144       
0          |8            |33          |145       
0          |6            |33          |146       
0          |5            |33          |148       
0          |4            |33          |149       
0          |2            |33          |150       
0          |1            |33          |152       
0          |0            |33          |153       
0          |0            |33          |153       
Duración: 37.917 |  Ocupación Total: 82.25806451612904
