Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
60ms    |20ms                |30ms         |80ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
4          |0            |0           |0         
5          |1            |0           |0         
7          |0            |0           |1         
7          |1            |0           |2         
9          |0            |0           |3         
10         |0            |1           |3         
11         |1            |1           |4         
12         |1            |2           |5         
14         |0            |2           |6         
14         |0            |2           |6         
14         |0            |2           |6         
15         |0            |2           |6         
15         |1            |2           |6         
16         |1            |2           |7         
17         |1            |2           |8         
17         |2            |2           |9         
18         |3            |2           |11        
19         |1            |4           |12        
22         |0            |4           |13        
23         |0            |5           |14        
24         |0            |5           |14        
24         |0            |5           |16        
24         |2            |5           |17        
27         |0            |6           |19        
28         |0            |7           |20        
30         |0            |7           |21        
31         |0            |7           |21        
33         |0            |7           |23        
34         |0            |8           |24        
35         |0            |9           |25        
36         |1            |9           |25        
37         |1            |10          |26        
38         |1            |10          |27        
40         |1            |10          |29        
40         |1            |10          |30        
40         |3            |10          |33        
42         |1            |10          |35        
44         |1            |10          |36        
43         |3            |10          |37        
46         |1            |10          |39        
47         |0            |10          |41        
48         |1            |10          |42        
50         |0            |11          |43        
50         |0            |11          |43        
50         |1            |12          |45        
50         |1            |12          |47        
52         |1            |12          |49        
53         |0            |12          |50        
55         |1            |12          |52        
56         |0            |13          |53        
56         |1            |13          |53        
57         |2            |14          |54        
58         |0            |14          |56        
60         |1            |14          |56        
59         |3            |14          |57        
61         |2            |14          |59        
62         |2            |14          |61        
63         |1            |14          |63        
64         |1            |15          |64        
66         |0            |15          |65        
67         |1            |15          |65        
66         |3            |15          |66        
65         |2            |17          |68        
67         |2            |17          |70        
69         |1            |17          |72        
70         |2            |17          |73        
69         |3            |18          |75        
69         |3            |18          |77        
67         |4            |20          |79        
67         |6            |21          |80        
69         |4            |21          |82        
70         |4            |21          |84        
70         |4            |21          |86        
69         |7            |21          |88        
67         |6            |22          |90        
63         |9            |22          |91        
59         |12           |22          |92        
57         |11           |22          |93        
53         |15           |22          |95        
51         |15           |22          |97        
47         |16           |23          |97        
44         |17           |23          |99        
40         |21           |23          |101       
37         |20           |24          |102       
33         |22           |26          |103       
30         |24           |26          |105       
26         |25           |26          |106       
22         |27           |27          |107       
19         |30           |27          |109       
16         |30           |27          |110       
12         |32           |29          |111       
7          |34           |30          |112       
4          |37           |30          |114       
0          |38           |32          |115       
0          |37           |32          |117       
0          |35           |32          |118       
0          |34           |32          |119       
0          |33           |32          |121       
0          |31           |32          |122       
0          |30           |32          |123       
0          |29           |32          |124       
0          |28           |32          |125       
0          |26           |32          |127       
0          |25           |32          |129       
0          |23           |32          |130       
0          |22           |32          |132       
0          |21           |32          |133       
0          |19           |32          |134       
0          |18           |32          |135       
0          |17           |32          |137       
0          |15           |32          |138       
0          |14           |32          |139       
0          |14           |32          |140       
0          |12           |32          |141       
0          |11           |32          |143       
0          |10           |32          |144       
0          |8            |32          |145       
0          |7            |32          |147       
0          |6            |32          |148       
0          |4            |32          |150       
0          |3            |32          |150       
0          |2            |32          |152       
0          |0            |32          |153       
0          |0            |32          |154       
Duración: 25.021 |  Ocupación Total: 82.79569892473118
